Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Date
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,Unknown,36,29,85,9,Carrier B,3.6940212683884543,Supplier 5,Fiji,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,Route A,716.0441197593407,2021-05-18 20:57:57
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Bhutan,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,2022-12-26 16:04:31
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,Male,93,7,52,6,Carrier B,5.21515500871191,Supplier 2,Indonesia,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,Route A,495.305697028474,2022-08-23 15:59:49
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,Non-binary,92,29,6,8,Carrier B,4.070955837084083,Supplier 3,Australia,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,Route B,380.4359371119643,2020-10-29 15:36:37
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Bolivia,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,2022-05-11 22:56:12
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,Non-binary,30,16,9,3,Carrier C,7.0958331565551385,Supplier 2,South Korea,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,Route B,768.65191395437,2022-09-11 14:02:46
cosmetics,SKU49,78.89791320564004,19,99,8001.613206519002,Unknown,97,24,9,6,Carrier C,2.5056210329009154,Supplier 5,India,28,177,28,14.147815443979216,Pass,2.825813985400132,Rail,Route A,336.8901685199779,2020-05-27 09:15:43
cosmetics,SKU50,14.203484264803022,91,633,5910.885389668899,Female,31,23,82,10,Carrier A,6.247860914975991,Supplier 2,Spain,20,306,21,45.17875792463452,Fail,4.754800804671185,Rail,Route B,496.24865029194046,2022-01-09 02:19:55
haircare,SKU51,26.70076097246173,61,154,9866.465457979695,Male,100,4,52,1,Carrier A,4.783000557947665,Supplier 5,Egypt,18,673,28,14.19032834456998,Pending,1.7729511720835571,Road,Route A,694.9823175794459,2020-11-27 09:03:59
skincare,SKU52,98.03182965646508,1,820,9435.76260891213,Male,64,11,11,1,Carrier B,8.631052179768947,Supplier 1,El Salvador,10,727,27,9.166849148597151,Pending,2.1224716191438247,Air,Route C,602.8984988383834,2021-12-05 12:30:27
skincare,SKU53,30.34147071121421,93,242,8232.334829425821,Male,96,25,54,3,Carrier B,1.0134865660958965,Supplier 1,Mauritius,1,631,17,83.34405899167797,Pending,1.4103475760760271,Air,Route B,750.7378406682709,2020-07-09 19:07:03
haircare,SKU54,31.146243160240854,11,622,6088.021479940859,Non-binary,33,22,61,3,Carrier B,4.305103471287636,Supplier 1,Brazil,26,497,29,30.186023375822508,Pass,2.478771975539748,Road,Route B,814.0699965821875,2020-08-16 17:41:05
haircare,SKU55,79.85505834078943,16,701,2925.6751703038126,Male,97,11,11,5,Carrier A,5.014364955030907,Supplier 2,South Korea,27,918,5,30.3235452566165,Fail,4.548919659396385,Sea,Route B,323.01292795247883,2022-05-04 00:32:53
skincare,SKU56,20.986386037043378,90,93,4767.020484344137,Non-binary,25,23,83,5,Carrier C,1.7744297140717396,Supplier 1,North Korea,24,826,28,12.836284572832753,Pass,1.173755495387454,Air,Route B,832.2108087060217,2021-12-24 00:46:11
haircare,SKU57,49.26320535073416,65,227,1605.8669003924058,Unknown,5,18,51,1,Carrier B,9.16055853538187,Supplier 2,Puerto Rico,21,588,25,67.77962298707814,Pending,2.511174830212707,Rail,Route A,482.1912386025281,2021-04-03 14:44:06
skincare,SKU58,59.84156137728931,81,896,2021.149810337108,Non-binary,10,5,44,7,Carrier A,4.93843856471209,Supplier 3,Spain,18,396,7,65.04741509469146,Fail,1.7303747198591968,Road,Route B,110.36433523136472,2021-10-22 20:36:15
cosmetics,SKU59,63.828398347710966,30,484,1061.618523013288,Non-binary,100,16,26,7,Carrier B,7.293722596867728,Supplier 1,Austria,11,176,4,1.900762243519458,Fail,0.4471940154638232,Air,Route A,312.5742736100933,2022-11-02 06:00:26
skincare,SKU60,17.028027920188702,16,380,8864.084349586436,Female,41,27,72,8,Carrier C,4.3813681581023145,Supplier 4,Switzerland,29,929,24,87.21305781513568,Fail,2.853090616649054,Rail,Route A,430.1690969751365,2020-06-01 01:01:44
haircare,SKU61,52.02874990329492,23,117,6885.589350896253,Unknown,32,23,36,7,Carrier C,9.030340422521949,Supplier 4,Poland,14,480,12,78.7023939688789,Fail,4.367470538205053,Air,Route A,164.36652824341942,2022-01-04 22:42:12
cosmetics,SKU62,72.79635395558736,89,270,3899.746833729224,Unknown,86,2,40,7,Carrier C,7.291701388776776,Supplier 2,Myanmar,13,751,14,21.048642725168644,Pass,1.8740014040443749,Sea,Route C,320.8465157591116,2022-02-19 00:01:53
skincare,SKU63,13.017376785287857,55,246,4256.949140850225,Non-binary,54,19,10,4,Carrier A,2.45793352798733,Supplier 3,Mexico,18,736,10,20.075003975630484,Pending,3.6328432903821337,Sea,Route A,687.2861778664173,2022-10-04 15:32:09
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Ethiopia,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,2021-01-15 13:02:40
skincare,SKU65,33.69771720664313,72,457,8354.579686481995,Male,57,24,54,8,Carrier C,6.580541347884595,Supplier 5,Botswana,16,358,21,1.5972227430506774,Fail,4.911095954842331,Rail,Route C,555.8591036717435,2021-12-24 11:13:33
skincare,SKU66,26.03486977396209,52,704,8367.721618020154,Female,13,17,19,8,Carrier A,2.2161427287713638,Supplier 5,Mexico,24,867,28,42.08443673830996,Fail,3.4480632883402618,Road,Route A,393.8433485784279,2021-09-21 02:02:08
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Lebanon,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,2020-02-21 20:47:28
haircare,SKU68,37.93181238279032,29,163,3550.218432780992,Non-binary,0,8,58,8,Carrier B,1.1942518648849991,Supplier 2,Fiji,2,375,18,97.1135815634622,Fail,1.98346787217418,Rail,Route A,299.7063031181032,2022-03-18 05:56:47
skincare,SKU69,54.86552851706979,62,511,1752.3810874841247,Non-binary,95,1,27,3,Carrier B,9.705286790120349,Supplier 4,Iran,9,862,7,77.62776581274817,Pending,1.3623879886491086,Air,Route A,207.6632062085756,2021-08-06 18:33:32
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,New Zealand,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,2020-09-22 12:59:32
cosmetics,SKU71,6.381533162747966,14,637,8180.337085425443,Female,76,2,26,6,Carrier A,9.228190317052515,Supplier 2,Japan,2,258,10,30.66167747785956,Pending,2.078750607874969,Road,Route A,405.1670678888559,2022-03-31 07:45:44
cosmetics,SKU72,90.20442752052809,88,478,2633.121981312256,Non-binary,57,29,77,9,Carrier A,6.599614159689544,Supplier 1,Italy,21,152,11,55.76049289524421,Pending,3.213329607438309,Rail,Route B,677.9445698461833,2022-10-17 19:03:31
cosmetics,SKU73,83.8510176813046,41,375,7910.886916140686,Male,17,25,66,5,Carrier B,1.5129368369160772,Supplier 4,Brazil,13,444,4,46.87023879761716,Fail,4.620546064513706,Road,Route A,866.4728001296578,2022-08-06 22:28:50
haircare,SKU74,3.170011413566155,64,904,5709.945295969287,Female,41,6,1,5,Carrier A,5.237654650037448,Supplier 4,Mauritius,1,919,9,80.58085215644782,Fail,0.3966127241099354,Rail,Route A,341.55265678322337,2022-09-24 02:42:38
skincare,SKU75,92.99688423397066,29,106,1889.073589779335,Non-binary,16,20,56,10,Carrier C,2.473897761045461,Supplier 1,Puerto Rico,25,759,11,48.06478264000659,Pass,2.030069088668752,Air,Route C,873.1296480176514,2022-02-23 15:20:23
haircare,SKU76,69.10879954743032,23,241,5328.375984297758,Male,38,1,22,10,Carrier A,7.054538336836926,Supplier 2,France,25,985,24,64.32359779560022,Pending,2.1800374515822165,Rail,Route A,997.4134501331946,2020-04-26 04:33:17
haircare,SKU77,57.44974295897148,14,359,2483.7601775427947,Unknown,96,28,57,4,Carrier B,6.780946625617895,Supplier 1,Mongolia,26,334,5,42.95244474899184,Pass,3.055141818307548,Road,Route B,852.56809891985,2021-09-26 02:22:30
haircare,SKU78,6.306883176111915,50,946,1292.4584179377562,Unknown,5,4,51,5,Carrier B,8.46704977086199,Supplier 5,Spain,25,858,21,71.12651472040338,Pending,4.096881332470452,Sea,Route C,323.59220343132216,2021-12-27 04:51:26
haircare,SKU79,57.05703122110322,56,198,7888.723268427081,Non-binary,31,25,20,1,Carrier B,6.4963253642950445,Supplier 3,Egypt,5,228,12,57.87090292403628,Pending,0.1658716274806082,Air,Route C,351.50421933503867,2021-02-15 13:36:55
skincare,SKU80,91.12831835044432,75,872,8651.672682982065,Unknown,39,14,41,2,Carrier C,2.8331846794189746,Supplier 3,Lesotho,8,202,5,76.96122802382001,Fail,2.8496621985053308,Sea,Route B,787.7798504943445,2020-04-23 07:59:55
haircare,SKU81,72.81920693031822,9,774,4384.413400045863,Unknown,48,6,8,5,Carrier B,4.066277501512044,Supplier 3,Botswana,28,698,1,19.789592941903603,Pending,2.547547121548712,Rail,Route B,276.77833594679885,2020-07-12 09:33:32
skincare,SKU82,17.034930739467917,13,336,2943.3818676094515,Unknown,42,19,72,1,Carrier A,4.70818187354193,Supplier 2,Chile,6,955,26,4.46527843494324,Pending,4.137877048622357,Road,Route C,589.9785556280407,2021-09-14 08:37:58
haircare,SKU83,68.91124621160633,82,663,2411.754632110491,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Tonga,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,2022-01-23 11:20:12
haircare,SKU84,89.10436729210225,99,618,2048.2900998487103,Unknown,73,26,80,10,Carrier A,8.381615624922631,Supplier 5,New Zealand,24,589,22,33.808636513209095,Pass,4.843456577118041,Air,Route B,465.457005963688,2020-05-15 07:05:34
cosmetics,SKU85,76.96299441519388,83,25,8684.613059253858,Female,15,18,66,2,Carrier C,8.249168704871728,Supplier 5,Madagascar,4,211,2,69.9293455186723,Fail,1.3744289997457582,Road,Route B,842.6868300046415,2022-04-21 16:52:37
skincare,SKU86,19.99817694040422,18,223,1229.5910285649834,Unknown,32,14,22,6,Carrier B,1.4543053101535517,Supplier 1,Denmark,4,569,18,74.60896999519468,Pass,2.0515129307662465,Rail,Route A,264.2548898358665,2022-08-26 23:57:17
haircare,SKU87,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,China,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,2022-07-21 13:34:00
cosmetics,SKU88,75.27040697572501,58,737,9444.74203306298,Male,60,18,85,7,Carrier A,3.8012531329310777,Supplier 2,Saudi Arabia,21,953,11,68.18491905704117,Pending,0.722204401882931,Sea,Route A,103.91624796070496,2020-03-10 06:14:43
cosmetics,SKU89,97.76008558193868,10,134,5924.682566853231,Unknown,90,1,27,8,Carrier B,9.92981624527726,Supplier 1,United States,23,370,11,46.60387338164447,Pending,1.9076657339590744,Rail,Route B,517.4999739290605,2020-10-12 05:29:29
skincare,SKU90,13.881913501359142,56,320,9592.633570280312,Non-binary,66,18,96,7,Carrier B,7.674430708112694,Supplier 3,Jordan,8,585,8,85.67596333579797,Pass,1.2193822244013883,Rail,Route B,990.0784725058112,2020-04-02 20:02:06
cosmetics,SKU91,62.11196546396179,90,916,1935.206793507599,Male,98,22,85,7,Carrier B,7.471514084401146,Supplier 4,Belize,5,207,28,39.772882502339975,Pending,0.6260018582093946,Rail,Route B,996.7783149506238,2021-05-15 13:35:42
cosmetics,SKU92,47.71423307582023,44,276,2100.1297546259366,Male,90,25,10,8,Carrier B,4.469500026123601,Supplier 2,Azerbaijan,4,671,29,62.61269039561434,Pass,0.3334318252247392,Rail,Route B,230.0927825367629,2022-06-25 17:53:15
haircare,SKU93,69.29083100290549,88,114,4531.4021336919095,Unknown,63,17,66,1,Carrier C,7.0064320590043945,Supplier 4,Madagascar,21,824,20,35.63365234334388,Fail,4.165781795424145,Air,Route A,823.5238458881558,2021-12-24 14:11:21
cosmetics,SKU94,3.037688724631414,97,987,7888.356546661873,Unknown,77,26,72,9,Carrier B,6.942945942032581,Supplier 2,Mongolia,12,908,14,60.38737861486212,Pass,1.4636074984727798,Rail,Route B,846.6652569866948,2021-03-09 16:39:18
haircare,SKU95,77.90392721944775,65,672,7386.363944048664,Unknown,15,14,26,9,Carrier B,8.630338869602754,Supplier 4,Georgia,18,450,26,58.89068576858998,Pending,1.2108821295850665,Air,Route A,778.8642413766479,2022-04-15 20:34:01
cosmetics,SKU96,24.42313142037338,29,324,7698.424765632117,Non-binary,67,2,32,3,Carrier C,5.352878043996809,Supplier 3,Nepal,28,648,28,17.80375633139127,Pending,3.872047681482133,Road,Route A,188.74214114905695,2020-03-06 09:33:23
haircare,SKU97,3.526111259143416,56,62,4370.916579984536,Male,46,19,4,9,Carrier A,7.904845611209675,Supplier 4,Nigeria,10,535,13,65.76515592636746,Fail,3.376237834717981,Road,Route A,540.1324228679678,2021-04-25 05:59:20
skincare,SKU98,19.7546048668786,43,913,8525.952559683526,Female,53,1,27,7,Carrier B,1.409801095138073,Supplier 5,Lebanon,28,581,9,5.604690864371781,Pending,2.908122169351261,Rail,Route A,882.1988635470415,2021-03-09 12:25:33
haircare,SKU99,68.51783269927664,17,627,9185.185829181704,Unknown,55,8,59,6,Carrier B,1.3110237561206226,Supplier 2,Eswatini,29,921,2,38.07289852062604,Fail,0.3460272907055034,Rail,Route B,210.74300896424612,2020-08-10 12:56:50
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,Female,13,19,72,6,Carrier C,7.577449657376693,Supplier 2,Bhutan,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,Route A,610.4532696192277,2020-07-02 08:21:28
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,Male,4,15,51,9,Carrier B,8.97875075594997,Supplier 1,Bolivia,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,Route A,581.6023550505868,2020-04-08 15:42:42
skincare,SKU64,89.63409560813533,11,134,8458.730878367178,Female,73,27,75,6,Carrier C,4.585353468194652,Supplier 1,Ethiopia,17,328,6,8.693042425877287,Fail,0.1594863147175146,Air,Route C,771.2250846811575,2022-12-28 20:25:54
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Lebanon,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,2020-12-25 11:44:36
skincare,SKU67,87.75543235400107,16,513,9473.798032508335,Unknown,12,9,71,9,Carrier C,9.147811544710631,Supplier 1,Lebanon,10,198,11,7.057876146978231,Pass,0.1319554443118148,Sea,Route C,169.2718013847869,2021-05-11 00:49:10
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Maldives,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,2020-07-09 10:04:43
haircare,SKU83,68.91124621160633,82,663,2411.754632110491,Unknown,65,24,7,8,Carrier B,4.949839577996949,Supplier 1,Tonga,20,443,5,97.73059380053304,Fail,0.7730061340672478,Road,Route A,682.9710182260933,2021-07-30 08:26:36
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,Unknown,69,25,7,6,Carrier B,6.037883769218298,Supplier 5,Somalia,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,Route C,523.360914720158,2020-11-29 11:47:34
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,Female,18,23,28,3,Carrier B,2.107951267159081,Supplier 2,Denmark,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,Route C,403.8089742481805,2022-04-16 13:43:06
haircare,SKU87,80.41403665035574,24,79,5133.846701086692,Male,5,7,55,10,Carrier A,6.575803797548535,Supplier 3,China,27,523,17,28.69699682414317,Fail,3.693737787839276,Sea,Route B,879.3592177349243,2022-05-30 16:03:13
haircare,SKU70,47.914541824058766,90,32,7014.887987203389,Female,10,12,22,4,Carrier B,6.315717754600723,Supplier 1,New Zealand,22,775,16,11.440781823761265,Pass,1.8305755986122316,Road,Route C,183.272898748711,2022-08-26 01:07:15
